artist_name,album_name,track_name
Firehouse,Prime Time,Prime Time 
David Lee Roth,Diamond Dave,"You Got The Blues, Not Me "
Lita Ford,Live & Deadly,Larger Than Life (Live) 
Lita Ford,Live & Deadly,Larger Than Life (Live) 
Skid Row,Chapter Two - Rise of the Damnation Army,We are the Damned 
Great White,30 Years (Live from the Sunset Strip),Desert Moon 
Warrant,Metal Bridge,Intro 
Tesla,Simplicity,MP3 
Firehouse,Prime Time,Prime Time 
Tesla,Simplicity,MP3 
Cinderella,"Authorized Bootleg - Live/Tokyo Dome - Tokyo, Japan Dec 31, 1990",Intro - Live 
Great White,30 Years (Live from the Sunset Strip),Desert Moon 
Poison,Double Dose: Ultimate Hits,Nothin' But A Good Time - 2006 - Remaster 
KISS,Love Gun (Deluxe Edition),I Stole Your Love 
Dokken,Greatest Hits (Re-Recorded) [Bonus Track Version],Just Got Lucky (Re-Recorded) 
Great White,30 Years (Live from the Sunset Strip),Desert Moon 
Scorpions,Return to Forever,Going out with a Bang 
Kix,Rock Your Face Off (Special Edition),Wheels in Motion 
Dokken,Greatest Hits (Re-Recorded) [Bonus Track Version],Just Got Lucky (Re-Recorded) 
Winger,Better Days Comin',Midnight Driver of a Love Machine 
Warrant,Metal Bridge,Intro 
Quiet Riot,Backstage - Live 1983,Let\'s Get Crazy 
David Lee Roth,Diamond Dave,"You Got The Blues, Not Me "
Winger,Better Days Comin',Midnight Driver of a Love Machine 
Ace Frehley,Space Invader,Space Invader 
Winger,Better Days Comin',Midnight Driver of a Love Machine 
Def Leppard,Slang (Deluxe Edition),Truth? 
MÌ¦tley CrÌ_e,Live to Air,Take Me to the Top - Live 
Poison,Double Dose: Ultimate Hits,Nothin' But A Good Time - 2006 - Remaster 
Tesla,Simplicity,MP3 
